iter	Passed	Remaining
1437	63595	24854
1438	63636	24808
1439	63675	24762
1440	63713	24716
1441	63756	24671
1442	63789	24622
1443	63828	24576
1444	63868	24530
1445	63907	24484
1446	63949	24439
1447	63988	24393
1448	64026	24347
1449	64068	24301
1450	64111	24257
1451	64149	24210
1452	64189	24164
1453	64231	24119
1454	64270	24073
1455	64324	24033
1456	64371	23990
1457	64412	23944
1458	64452	23898
1459	64493	23853
1460	64533	23807
1461	64582	23765
1462	64632	23723
1463	64677	23679
1464	64714	23633
1465	64751	23586
1466	64788	23539
1467	64825	23492
1468	64863	23446
1469	64900	23399
1470	64940	23353
1471	64979	23307
1472	65021	23263
1473	65063	23218
1474	65103	23172
1475	65142	23126
1476	65184	23081
1477	65222	23035
1478	65261	22989
1479	65303	22944
1480	65344	22899
1481	65380	22852
1482	65431	22810
1483	65475	22766
1484	65520	22722
1485	65555	22675
1486	65595	22629
1487	65637	22584
1488	65680	22540
1489	65730	22498
1490	65779	22455
1491	65815	22409
1492	65856	22363
1493	65895	22318
1494	65934	22272
1495	65973	22226
1496	66012	22180
1497	66051	22134
1498	66092	22089
1499	66133	22044
1500	66171	21998
1501	66211	21953
1502	66251	21907
1503	66293	21862
1504	66330	21816
1505	66368	21770
1506	66409	21725
1507	66452	21680
1508	66493	21635
1509	66541	21592
1510	66584	21548
1511	66628	21504
1512	66671	21460
1513	66710	21414
1514	66741	21366
1515	66784	21321
1516	66833	21279
1517	66881	21236
1518	66918	21190
1519	66957	21144
1520	66998	21099
1521	67037	21053
1522	67078	21008
1523	67118	20963
1524	67156	20917
1525	67195	20872
1526	67234	20826
1527	67276	20781
1528	67316	20736
1529	67354	20690
1530	67392	20644
1531	67431	20599
1532	67468	20553
1533	67507	20507
1534	67546	20461
1535	67583	20415
1536	67621	20370
1537	67670	20327
1538	67718	20284
1539	67763	20240
1540	67805	20196
1541	67847	20151
1542	67898	20109
1543	67958	20070
1544	68026	20033
1545	68091	19995
1546	68139	19952
1547	68193	19911
1548	68237	19867
1549	68290	19826
1550	68344	19785
1551	68407	19746
1552	68464	19706
1553	68532	19668
1554	68595	19630
1555	68659	19591
1556	68715	19551
1557	68783	19513
1558	68846	19474
1559	68919	19438
1560	68958	19393
1561	68998	19347
1562	69044	19304
1563	69097	19262
1564	69145	19219
1565	69184	19173
1566	69227	19129
1567	69279	19087
1568	69327	19043
1569	69380	19002
1570	69422	18957
1571	69469	18913
1572	69503	18867
1573	69543	18821
1574	69582	18776
1575	69623	18731
1576	69675	18689
1577	69722	18645
1578	69764	18600
1579	69811	18557
1580	69866	18516
1581	69920	18474
1582	69973	18432
1583	70024	18390
1584	70074	18347
1585	70131	18306
1586	70196	18267
1587	70253	18227
1588	70301	18183
1589	70348	18140
1590	70393	18096
1591	70448	18054
1592	70496	18011
1593	70552	17970
1594	70600	17926
1595	70653	17884
1596	70714	17844
1597	70769	17803
1598	70823	17761
1599	70860	17715
1600	70912	17672
1601	70964	17630
1602	71030	17591
1603	71088	17550
1604	71147	17509
1605	71199	17467
1606	71259	17426
1607	71330	17389
1608	71393	17349
1609	71453	17308
1610	71505	17266
1611	71562	17224
1612	71620	17183
1613	71671	17140
1614	71727	17099
1615	71784	17057
1616	71831	17013
1617	71887	16972
1618	71941	16930
1619	72002	16889
1620	72058	16847
1621	72113	16805
1622	72170	16764
1623	72226	16722
1624	72289	16682
1625	72337	16638
1626	72388	16595
1627	72456	16556
1628	72511	16514
1629	72567	16472
1630	72625	16430
1631	72683	16389
1632	72741	16347
1633	72795	16305
1634	72847	16262
1635	72903	16220
1636	72962	16179
1637	73022	16138
1638	73079	16096
1639	73128	16052
1640	73185	16010
1641	73240	15968
1642	73295	15926
1643	73359	15885
1644	73423	15845
1645	73484	15804
1646	73540	15761
1647	73607	15721
1648	73666	15680
1649	73720	15637
1650	73772	15594
1651	73828	15552
1652	73885	15510
1653	73947	15469
1654	73996	15425
1655	74053	15383
1656	74112	15341
1657	74163	15297
1658	74209	15253
1659	74252	15208
1660	74311	15166
1661	74360	15122
